Date,NVDA,MSFT,SMCI
2015-01-02,4.8328,40.4527,34.73
2015-01-05,4.7512,40.0764,33.67
2015-01-06,4.6072,39.4924,32.76
2015-01-07,4.594,39.9942,33.0
2015-01-08,4.768,41.1708,34.73
2015-01-09,4.7872,40.8247,34.53
2015-01-12,4.7272,40.3143,34.16
2015-01-13,4.7188,40.1023,34.21
2015-01-14,4.7392,39.7563,33.7
2015-01-15,4.7056,39.3454,33.15
2015-01-16,4.792,40.0029,35.07
2015-01-20,4.8064,40.1326,37.74
2015-01-21,4.8736,39.726,34.11
2015-01-22,4.9577,40.7728,36.88
2015-01-23,4.9721,40.8161,36.35
2015-01-26,4.9493,40.669,36.71
2015-01-27,4.7128,36.9058,37.33
2015-01-28,4.636,35.634,37.39
2015-01-29,4.7488,36.3434,37.87
2015-01-30,4.6108,34.9506,36.57
2015-02-02,4.7104,35.7119,36.47
2015-02-03,4.828,35.9887,35.88
2015-02-04,4.84,36.1964,35.69
2015-02-05,4.9181,36.7241,36.64
2015-02-06,4.8977,36.6895,37.13
2015-02-09,4.8929,36.6462,37.19
2015-02-10,5.0297,36.8538,39.2
2015-02-11,4.9961,36.6635,39.19
2015-02-12,5.3538,37.2778,40.04
2015-02-13,5.3562,37.9525,39.74
2015-02-17,5.3718,37.97,39.94
2015-02-18,5.3106,37.9264,39.11
2015-02-19,5.3238,37.9003,39.17
2015-02-20,5.3622,38.2096,39.24
2015-02-23,5.3202,38.4666,38.67
2015-02-24,5.3769,38.4143,40.73
2015-02-25,5.3359,38.3272,40.15
2015-02-26,5.3504,38.3838,41.13
2015-02-27,5.3166,38.2052,40.18
2015-03-02,5.4456,38.2313,40.33
2015-03-03,5.3456,37.7086,39.8
2015-03-04,5.4058,37.5125,39.24
2015-03-05,5.5094,37.5605,39.35
2015-03-06,5.4347,36.907,38.11
2015-03-09,5.4492,37.3339,38.06
2015-03-10,5.542,36.6195,37.05
2015-03-11,5.5143,36.5759,38.18
2015-03-12,5.4636,35.7395,37.31
2015-03-13,5.4709,36.0532,36.06
2015-03-16,5.536,36.21,36.39
2015-03-17,5.6034,36.3276,35.43
2015-03-18,5.5119,37.029,35.42
2015-03-19,5.595,36.8417,36.67
2015-03-20,5.6565,37.3601,37.16
2015-03-23,5.4733,37.3383,36.64
2015-03-24,5.3986,37.3775,35.36
2015-03-25,5.0708,36.1229,33.32
2015-03-26,5.0527,35.9051,33.2
2015-03-27,5.1527,35.6959,33.91
2015-03-30,5.1744,35.6872,34.11
2015-03-31,5.0431,35.4215,33.21
2015-04-01,5.0636,35.4781,33.72
2015-04-02,5.0756,35.1035,34.07
2015-04-06,5.2214,36.1969,33.67
2015-04-07,5.2684,36.1839,33.67
2015-04-08,5.307,36.088,34.25
2015-04-09,5.4287,36.1403,34.54
2015-04-10,5.4853,36.3494,35.12
2015-04-13,5.4347,36.3843,35.32
2015-04-14,5.3889,36.2884,35.45
2015-04-15,5.454,36.8155,36.95
2015-04-16,5.4203,36.7328,37.77
2015-04-17,5.3504,36.2579,36.81
2015-04-20,5.3239,37.3819,37.06
2015-04-21,5.3154,37.1466,34.81
2015-04-22,5.3769,37.4516,31.9
2015-04-23,5.3552,37.7609,31.23
2015-04-24,5.3094,41.7077,30.44
2015-04-27,5.3504,41.8471,30.79
2015-04-28,5.3757,42.8273,29.68
2015-04-29,5.3359,42.7445,29.84
2015-04-30,5.3492,42.3786,28.77
2015-05-01,5.4829,42.3917,29.28
2015-05-04,5.4492,42.0301,29.84
2015-05-05,5.3094,41.4725,29.1
2015-05-06,5.3263,40.3224,29.85
2015-05-07,5.4203,40.6883,30.1
2015-05-08,5.019,41.6032,30.9
2015-05-11,4.972,41.2721,30.93
2015-05-12,5.0202,41.2547,31.19
2015-05-13,5.0491,41.4943,32.0
2015-05-14,5.1311,42.4483,33.24
2015-05-15,5.1335,42.078,33.09
2015-05-18,5.1262,41.8297,33.48
2015-05-19,5.0942,41.7245,32.88
2015-05-20,5.0942,41.7245,33.04
2015-05-21,5.0579,41.5842,33.26
2015-05-22,5.0506,41.1281,33.6
2015-05-26,5.0191,40.8563,33.51
2015-05-27,5.2879,41.7508,34.2
2015-05-28,5.3605,41.6105,33.77
2015-05-29,5.3581,41.0931,33.46
