date,GOOG,MSFT
2016-02-17,35.42,46.9183
2016-02-18,34.8675,46.7125
2016-02-19,35.0455,46.3813
2016-02-22,35.323,47.1242
2016-02-23,34.7925,45.8085
2016-02-24,34.978,45.9696
2016-02-25,35.2875,46.6319
2016-02-26,35.2535,45.9159
2016-02-29,34.8885,45.54
2016-03-01,35.9405,47.0615
2016-03-02,35.9425,47.3927
2016-03-03,35.621,46.8557
2016-03-04,35.5445,46.5693
2016-03-07,34.758,45.6742
2016-03-08,34.6985,46.2291
2016-03-09,35.262,47.2943
2016-03-10,35.641,46.5872
2016-03-11,36.341,47.5001
2016-03-14,36.5245,47.5896
2016-03-15,36.4165,47.9655
2016-03-16,36.8045,48.6458
2016-03-17,36.889,48.9232
2016-03-18,36.88,47.876
2016-03-21,37.1045,48.2072
2016-03-22,37.0375,48.3952
2016-03-23,36.903,48.3057
2016-03-24,36.765,48.5205
2016-03-28,36.6765,47.9208
2016-03-29,37.2385,48.968
2016-03-30,37.5265,49.2723
2016-03-31,37.2475,49.4334
2016-04-01,37.4955,49.7377
2016-04-04,37.2645,49.6124
2016-04-05,36.89,48.8337
2016-04-06,37.2845,49.335
2016-04-07,37.014,48.7442
2016-04-08,36.9575,48.7084
2016-04-11,36.805,48.61
2016-04-12,37.1545,48.9143
2016-04-13,37.586,49.5408
2016-04-14,37.66,49.5498
2016-04-15,37.95,49.8093
2016-04-18,38.3305,50.5343
2016-04-19,37.6965,50.4717
2016-04-20,37.6335,49.7556
2016-04-21,37.957,49.9257
2016-04-22,35.9385,46.3455
2016-04-25,36.1575,46.6409
2016-04-26,35.407,46.0412
2016-04-27,35.292,45.5937
2016-04-28,34.551,44.6628
2016-04-29,34.6505,44.636
2016-05-02,34.9105,45.2983
2016-05-03,34.618,44.5554
2016-05-04,34.785,44.636
2016-05-05,35.0715,44.6986
2016-05-06,35.556,45.1014
2016-05-09,35.645,44.815
2016-05-10,36.159,45.6653
2016-05-11,35.7645,45.6921
2016-05-12,35.6655,46.1038
2016-05-13,35.5415,45.719
2016-05-16,35.8245,46.3903
2016-05-17,35.3115,45.525
2016-05-18,35.3315,45.7954
2016-05-19,35.016,45.3538
2016-05-20,35.487,45.6241
2016-05-23,35.212,45.0924
2016-05-24,36.0045,46.4984
2016-05-25,36.2635,46.9761
2016-05-26,36.206,46.7688
2016-05-27,36.633,47.1564
2016-05-31,36.786,47.7693
2016-06-01,36.7075,47.6341
2016-06-02,36.52,47.3006
2016-06-03,36.117,46.6787
2016-06-06,35.8275,46.9851
2016-06-07,35.8325,46.9581
2016-06-08,36.414,46.904
2016-06-09,36.429,46.5255
2016-06-10,35.9705,46.3993
2016-06-13,35.918,45.1915
2016-06-14,35.9135,44.9121
2016-06-15,35.946,44.7859
2016-06-16,35.518,45.4168
2016-06-17,34.586,45.1825
2016-06-20,34.6855,45.1284
2016-06-21,34.797,46.1379
2016-06-22,34.873,45.9576
2016-06-23,35.0935,46.7868
2016-06-24,33.761,44.9121
2016-06-27,33.413,43.6503
2016-06-28,34.002,44.5606
2016-06-29,34.2055,45.552
2016-06-30,34.605,46.1199
2016-07-01,34.9605,46.1109
2016-07-05,34.7475,46.1199
2016-07-06,34.8885,46.3091
2016-07-07,34.768,46.3091
2016-07-08,35.2815,47.1383
2016-07-11,35.7545,47.3997
2016-07-12,36.032,47.9585
2016-07-13,35.849,48.2289
2016-07-14,36.0475,48.4362
2016-07-15,35.9925,48.4002
2016-07-18,36.689,48.6345
2016-07-19,36.848,47.8504
2016-07-20,37.0595,50.3921
2016-07-21,36.9315,50.2929
2016-07-22,37.137,50.9869
2016-07-25,36.9885,51.1311
2016-07-26,36.921,51.1582
2016-07-27,37.0885,50.6444
2016-07-28,37.2955,50.6624
2016-07-29,38.4395,51.0861
2016-08-01,38.644,50.9959
2016-08-02,38.5535,50.9959
2016-08-03,38.659,51.3474
2016-08-04,38.5805,51.726
2016-08-05,39.111,52.2397
2016-08-08,39.088,52.3299
2016-08-09,39.213,52.4561
2016-08-10,39.234,52.2938
2016-08-11,39.2425,52.5462
2016-08-12,39.161,52.2217
2016-08-15,39.122,52.3839
2016-08-16,38.857,52.0937
2016-08-17,38.9955,52.2026
2016-08-18,38.875,52.2388
2016-08-19,38.771,52.257
2016-08-22,38.6075,52.3023
2016-08-23,38.604,52.5018
2016-08-24,38.482,52.5563
2016-08-25,38.4705,52.7558
2016-08-26,38.477,52.6288
2016-08-29,38.6075,52.6923
2016-08-30,38.4545,52.5018
2016-08-31,38.3525,52.1119
2016-09-01,38.439,52.2298
2016-09-02,38.573,52.3023
2016-09-06,39.004,52.2479
2016-09-07,39.0175,52.2933
2016-09-08,38.766,52.0847
2016-09-09,37.983,50.9782
2016-09-12,38.451,51.74
2016-09-13,37.9845,51.2684
2016-09-14,38.1245,51.0236
2016-09-15,38.588,51.867
2016-09-16,38.444,51.9214
2016-09-19,38.285,51.6312
2016-09-20,38.5705,51.5224
2016-09-21,38.811,52.3839
2016-09-22,39.3605,52.4384
2016-09-23,39.345,52.0847
2016-09-26,38.7105,51.604
2016-09-27,39.1505,52.5563
2016-09-28,39.078,52.6288
2016-09-29,38.7505,52.0575
2016-09-30,38.8645,52.2388
2016-10-03,38.628,52.0756
2016-10-04,38.8215,51.9123
2016-10-05,38.8235,52.2751
2016-10-06,38.843,52.3658
2016-10-07,38.754,52.4202
2016-10-10,39.297,52.6379
2016-10-11,39.1535,51.867
2016-10-12,39.307,51.7944
2016-10-13,38.9095,51.6221
2016-10-14,38.9265,52.0756
2016-10-17,38.998,51.8942
2016-10-18,39.763,52.2933
2016-10-19,40.075,52.1754
2016-10-20,39.8485,51.9214
2016-10-21,39.9685,54.1071
2016-10-24,40.6555,55.3224
2016-10-25,40.3835,55.3133
2016-10-26,39.9535,54.9868
2016-10-27,39.7675,54.5061
2016-10-28,39.7685,54.2976
2016-10-31,39.227,54.3429
2016-11-01,39.1805,54.2341
2016-11-02,38.435,53.8985
2016-11-03,38.1065,53.699
2016-11-04,38.101,53.2455
2016-11-07,39.126,54.7964
2016-11-08,39.5255,54.8417
2016-11-09,39.2655,54.5696
2016-11-10,38.128,53.2365
2016-11-11,37.701,53.5267
2016-11-14,36.804,52.7104
2016-11-15,37.9245,53.7513
2016-11-16,38.224,54.4635
2016-11-17,38.5615,55.3674
2016-11-18,38.027,55.1026
2016-11-21,38.46,55.5683
2016-11-22,38.4135,55.8057
2016-11-23,38.0495,55.1483
2016-11-25,38.084,55.267
2016-11-28,38.412,55.34
2016-11-29,38.542,55.7783
2016-11-30,37.902,55.0205
2016-12-01,37.396,54.0526
2016-12-02,37.525,54.0983
2016-12-05,38.126,54.9839
2016-12-06,37.9555,54.7374
2016-12-07,38.5595,56.0339
2016-12-08,38.821,55.7052
2016-12-09,39.4645,56.5818
