date,GOOG,MSFT
2016-02-17,708.4,52.42
2016-02-18,697.35,52.19
2016-02-19,700.91,51.82
2016-02-22,706.46,52.65
2016-02-23,695.85,51.18
2016-02-24,699.56,51.36
2016-02-25,705.75,52.1
2016-02-26,705.07,51.3
2016-02-29,697.77,50.88
2016-03-01,718.81,52.58
2016-03-02,718.85,52.95
2016-03-03,712.42,52.35
2016-03-04,710.89,52.03
2016-03-07,695.16,51.03
2016-03-08,693.97,51.65
2016-03-09,705.24,52.84
2016-03-10,712.82,52.05
2016-03-11,726.82,53.07
2016-03-14,730.49,53.17
2016-03-15,728.33,53.59
2016-03-16,736.09,54.35
2016-03-17,737.78,54.66
2016-03-18,737.6,53.49
2016-03-21,742.09,53.86
2016-03-22,740.75,54.07
2016-03-23,738.06,53.97
2016-03-24,735.3,54.21
2016-03-28,733.53,53.54
2016-03-29,744.77,54.71
2016-03-30,750.53,55.05
2016-03-31,744.95,55.23
2016-04-01,749.91,55.57
2016-04-04,745.29,55.43
2016-04-05,737.8,54.56
2016-04-06,745.69,55.12
2016-04-07,740.28,54.46
2016-04-08,739.15,54.42
2016-04-11,736.1,54.31
2016-04-12,743.09,54.65
2016-04-13,751.72,55.35
2016-04-14,753.2,55.36
2016-04-15,759.0,55.65
2016-04-18,766.61,56.46
2016-04-19,753.93,56.39
2016-04-20,752.67,55.59
2016-04-21,759.14,55.78
2016-04-22,718.77,51.78
2016-04-25,723.15,52.11
2016-04-26,708.14,51.44
2016-04-27,705.84,50.94
2016-04-28,691.02,49.9
2016-04-29,693.01,49.87
2016-05-02,698.21,50.61
2016-05-03,692.36,49.78
2016-05-04,695.7,49.87
2016-05-05,701.43,49.94
2016-05-06,711.12,50.39
2016-05-09,712.9,50.07
2016-05-10,723.18,51.02
2016-05-11,715.29,51.05
2016-05-12,713.31,51.51
2016-05-13,710.83,51.08
2016-05-16,716.49,51.83
2016-05-17,706.23,50.51
2016-05-18,706.63,50.81
2016-05-19,700.32,50.32
2016-05-20,709.74,50.62
2016-05-23,704.24,50.03
2016-05-24,720.09,51.59
2016-05-25,725.27,52.12
2016-05-26,724.12,51.89
2016-05-27,732.66,52.32
2016-05-31,735.72,53.0
2016-06-01,734.15,52.85
2016-06-02,730.4,52.48
2016-06-03,722.34,51.79
2016-06-06,716.55,52.13
2016-06-07,716.65,52.1
2016-06-08,728.28,52.04
2016-06-09,728.58,51.62
2016-06-10,719.41,51.48
2016-06-13,718.36,50.14
2016-06-14,718.27,49.83
2016-06-15,718.92,49.69
2016-06-16,710.36,50.39
2016-06-17,691.72,50.13
2016-06-20,693.71,50.07
2016-06-21,695.94,51.19
2016-06-22,697.46,50.99
2016-06-23,701.87,51.91
2016-06-24,675.22,49.83
2016-06-27,668.26,48.43
2016-06-28,680.04,49.44
2016-06-29,684.11,50.54
2016-06-30,692.1,51.17
2016-07-01,699.21,51.16
2016-07-05,694.95,51.17
2016-07-06,697.77,51.38
2016-07-07,695.36,51.38
2016-07-08,705.63,52.3
2016-07-11,715.09,52.59
2016-07-12,720.64,53.21
2016-07-13,716.98,53.51
2016-07-14,720.95,53.74
2016-07-15,719.85,53.7
2016-07-18,733.78,53.96
2016-07-19,736.96,53.09
2016-07-20,741.19,55.91
2016-07-21,738.63,55.8
2016-07-22,742.74,56.57
2016-07-25,739.77,56.73
2016-07-26,738.42,56.76
2016-07-27,741.77,56.19
2016-07-28,745.91,56.21
2016-07-29,768.79,56.68
2016-08-01,772.88,56.58
2016-08-02,771.07,56.58
2016-08-03,773.18,56.97
2016-08-04,771.61,57.39
2016-08-05,782.22,57.96
2016-08-08,781.76,58.06
2016-08-09,784.26,58.2
2016-08-10,784.68,58.02
2016-08-11,784.85,58.3
2016-08-12,783.22,57.94
2016-08-15,782.44,58.12
2016-08-16,777.14,57.44
2016-08-17,779.91,57.56
2016-08-18,777.5,57.6
2016-08-19,775.42,57.62
2016-08-22,772.15,57.67
2016-08-23,772.08,57.89
2016-08-24,769.64,57.95
2016-08-25,769.41,58.17
2016-08-26,769.54,58.03
2016-08-29,772.15,58.1
2016-08-30,769.09,57.89
2016-08-31,767.05,57.46
2016-09-01,768.78,57.59
2016-09-02,771.46,57.67
2016-09-06,780.08,57.61
2016-09-07,780.35,57.66
2016-09-08,775.32,57.43
