date,GOOG,MSFT
2016-02-17,49852000.0,40788969.0
2016-02-18,37664000.0,27176039.0
2016-02-19,31786000.0,33559070.0
2016-02-22,38996000.0,25008289.0
2016-02-23,40186000.0,28895270.0
2016-02-24,39272000.0,33014461.0
2016-02-25,32844000.0,26939471.0
2016-02-26,44870000.0,35975930.0
2016-02-29,49622000.0,31654039.0
2016-03-01,43028000.0,33024539.0
2016-03-02,32580000.0,29289881.0
2016-03-03,39160000.0,24427811.0
2016-03-04,39442000.0,33034148.0
2016-03-07,59702000.0,38428820.0
2016-03-08,41526000.0,33835121.0
2016-03-09,28430000.0,28251590.0
2016-03-10,56670000.0,38387801.0
2016-03-11,39416000.0,32275680.0
2016-03-14,34366000.0,24083619.0
2016-03-15,34420000.0,21104760.0
2016-03-16,32488000.0,31691740.0
2016-03-17,37216000.0,28223949.0
2016-03-18,59614000.0,67625523.0
2016-03-21,36730000.0,23925721.0
2016-03-22,25394000.0,23124141.0
2016-03-23,28642000.0,20129020.0
2016-03-24,31898000.0,19949971.0
2016-03-28,26026000.0,17025051.0
2016-03-29,38076000.0,23924330.0
2016-03-30,35648000.0,23008260.0
2016-03-31,34376000.0,26360500.0
2016-04-01,31534000.0,24399189.0
2016-04-04,22684000.0,18928811.0
2016-04-05,22646000.0,19272260.0
2016-04-06,21074000.0,21188680.0
2016-04-07,29064000.0,19225090.0
2016-04-08,25816000.0,22167221.0
2016-04-11,24402000.0,21414230.0
2016-04-12,27060000.0,24944289.0
2016-04-13,34142000.0,20817961.0
2016-04-14,22706000.0,20877109.0
2016-04-15,36186000.0,28793750.0
2016-04-18,31176000.0,23785949.0
2016-04-19,40610000.0,29596830.0
2016-04-20,30584000.0,36195711.0
2016-04-21,61210000.0,38909102.0
2016-04-22,119038000.0,126834094.0
2016-04-25,39184000.0,33226949.0
2016-04-26,54892000.0,33532641.0
2016-04-27,61972000.0,43369262.0
2016-04-28,57346000.0,43134848.0
2016-04-29,49754000.0,48411680.0
2016-05-02,32906000.0,33114539.0
2016-05-03,30876000.0,26460240.0
2016-05-04,33870000.0,24257561.0
2016-05-05,33670000.0,25390721.0
2016-05-06,36586000.0,24787301.0
2016-05-09,30206000.0,17951600.0
2016-05-10,31392000.0,22890971.0
2016-05-11,33842000.0,24039141.0
2016-05-12,27214000.0,24102779.0
2016-05-13,26290000.0,22592340.0
2016-05-16,26342000.0,20032020.0
2016-05-17,40024000.0,27803510.0
2016-05-18,35336000.0,24907529.0
2016-05-19,33404000.0,23842359.0
2016-05-20,36568000.0,23905770.0
2016-05-23,26614000.0,26118721.0
2016-05-24,38590000.0,34757941.0
2016-05-25,32584000.0,24204570.0
2016-05-26,31526000.0,24335221.0
2016-05-27,39500000.0,17721439.0
2016-05-31,42590000.0,37653078.0
2016-06-01,25072000.0,25324830.0
2016-06-02,26836000.0,22840779.0
2016-06-03,24526000.0,23368289.0
2016-06-06,31306000.0,18243270.0
2016-06-07,26724000.0,20866770.0
2016-06-08,31674000.0,21149439.0
2016-06-09,19778000.0,20305660.0
2016-06-10,24328000.0,25833150.0
2016-06-13,25178000.0,83217844.0
2016-06-14,26122000.0,42577113.0
2016-06-15,24290000.0,33757641.0
2016-06-16,39650000.0,31188609.0
2016-06-17,68048000.0,45710520.0
2016-06-20,41650000.0,35607953.0
2016-06-21,29312000.0,34097832.0
2016-06-22,23686000.0,28816850.0
2016-06-23,43428000.0,29028830.0
2016-06-24,88980000.0,133503000.0
2016-06-27,52580000.0,50576699.0
2016-06-28,43476000.0,38140660.0
2016-06-29,38652000.0,31304020.0
2016-06-30,31954000.0,28527779.0
2016-07-01,26894000.0,21400391.0
2016-07-05,29252000.0,24806350.0
2016-07-06,28238000.0,28167461.0
2016-07-07,26084000.0,19585189.0
2016-07-08,31504000.0,28391029.0
2016-07-11,22236000.0,22269199.0
2016-07-12,26738000.0,27317561.0
2016-07-13,18718000.0,25356840.0
2016-07-14,19004000.0,24545520.0
2016-07-15,25586000.0,32024391.0
2016-07-18,25910000.0,31433859.0
2016-07-19,24550000.0,53336527.0
2016-07-20,25794000.0,89893297.0
2016-07-21,20526000.0,32776648.0
2016-07-22,25196000.0,32157170.0
2016-07-25,20648000.0,25610590.0
2016-07-26,23734000.0,28079000.0
2016-07-27,30250000.0,32327480.0
2016-07-28,70604000.0,37550406.0
2016-07-29,76830000.0,30558721.0
2016-08-01,54010000.0,26003420.0
2016-08-02,35690000.0,35121961.0
2016-08-03,25748000.0,22075619.0
2016-08-04,22806000.0,26587750.0
2016-08-05,36024000.0,29335221.0
2016-08-08,22158000.0,19473500.0
2016-08-09,26378000.0,16920721.0
2016-08-10,15728000.0,15756910.0
2016-08-11,19502000.0,18162301.0
2016-08-12,14810000.0,21655160.0
2016-08-15,18764000.0,19283900.0
2016-08-16,20560000.0,20523490.0
2016-08-17,18484000.0,18856420.0
2016-08-18,14388000.0,14214340.0
2016-08-19,17230000.0,17271039.0
2016-08-22,19028000.0,15221920.0
2016-08-23,18564000.0,18732369.0
2016-08-24,21440000.0,18151510.0
2016-08-25,18538000.0,18552580.0
2016-08-26,23334000.0,20971199.0
2016-08-29,16952000.0,16417211.0
2016-08-30,22600000.0,16930189.0
2016-08-31,24972000.0,20860270.0
2016-09-01,18502000.0,26075359.0
2016-09-02,21454000.0,18900490.0
2016-09-06,28856000.0,16278420.0
2016-09-07,17874000.0,17493359.0
2016-09-08,25406000.0,20146080.0
2016-09-09,37710000.0,35113930.0
2016-09-12,26220000.0,29302961.0
2016-09-13,27900000.0,30130211.0
2016-09-14,21748000.0,24274270.0
2016-09-15,26102000.0,27062609.0
2016-09-16,40986000.0,44606969.0
2016-09-19,23456000.0,20937100.0
2016-09-20,19572000.0,17383980.0
2016-09-21,23356000.0,33707273.0
2016-09-22,29724000.0,19822199.0
2016-09-23,28238000.0,19955340.0
2016-09-26,30664000.0,21688721.0
2016-09-27,23064000.0,28065070.0
2016-09-28,22196000.0,20536400.0
2016-09-29,26294000.0,25463539.0
2016-09-30,31706000.0,29910789.0
2016-10-03,25576000.0,19189520.0
2016-10-04,24028000.0,20085869.0
2016-10-05,29224000.0,16726410.0
2016-10-06,21414000.0,16212610.0
2016-10-07,18664000.0,20089020.0
2016-10-10,23498000.0,18196510.0
2016-10-11,27450000.0,26497420.0
2016-10-12,18748000.0,22177461.0
2016-10-13,27306000.0,25313750.0
2016-10-14,17050000.0,27402449.0
2016-10-17,21860000.0,23830010.0
2016-10-18,41138000.0,19149539.0
2016-10-19,35336000.0,22878400.0
2016-10-20,35150000.0,49455609.0
2016-10-21,25324000.0,80032211.0
2016-10-24,33950000.0,54066980.0
2016-10-25,31528000.0,35137160.0
2016-10-26,32954000.0,29911609.0
2016-10-27,54984000.0,28479859.0
2016-10-28,85398000.0,33574680.0
2016-10-31,48546000.0,26434699.0
2016-11-01,48128000.0,24532990.0
2016-11-02,37448000.0,22147010.0
2016-11-03,38864000.0,21600430.0
2016-11-04,42696000.0,28697020.0
2016-11-07,31702000.0,31664801.0
2016-11-08,27338000.0,22935359.0
2016-11-09,52142000.0,49632480.0
2016-11-10,94904000.0,57822391.0
2016-11-11,48636000.0,38767840.0
2016-11-14,73088000.0,41328422.0
2016-11-15,47680000.0,35904129.0
2016-11-16,29452000.0,27332480.0
2016-11-17,26080000.0,32132730.0
2016-11-18,30942000.0,27686311.0
2016-11-21,26612000.0,19652600.0
2016-11-22,31862000.0,23206699.0
2016-11-23,29568000.0,21848910.0
2016-11-25,11748000.0,8409616.0
2016-11-28,43764000.0,20732619.0
2016-11-29,32332000.0,22366721.0
2016-11-30,47858000.0,34655441.0
